ID,TYPE_NAME,PURITY,CATEGORY,BRAND
543,Vàng trang sức,99.99,jewelry,Phú Quý
548,Nữ trang,58.3,jewelry,SJC
558,Vàng miếng SJC,99.99%,gold_bar,Phú Quý
559,Vàng trang sức 999,99.99,jewelry,Phú Quý
568,Nữ trang,41.7,jewelry,SJC
781,PNJ,99.99,jewelry,
782,SJC,99.99%,gold_bar,
783,Nhẫn Trơn PNJ 999.9,99.99,ring,
784,Vàng Kim Bảo 999.9,99.99,Gold bar,
785,Vàng Phúc Lộc Tài 999.9,99.99,Gold bar,
786,Vàng nữ trang 999.9,99.99,jewelry,
787,Vàng nữ trang 99,99.0,jewelry,
788,Vàng 916 (22K),91.6,Gold bar,
789,Vàng 750 (18K),75.0,Gold bar,
790,Vàng 680 (16.3K),68.0,Gold bar,
791,Vàng 650 (15.6K),65.0,Gold bar,
792,Vàng 585 (14K),58.3,Gold bar,
793,Vàng 416 (10K),41.66,Gold bar,
794,Vàng 375 (9K),37.5,Gold bar,
795,Vàng 333 (8K),33.3,Gold bar,
541,QUÀ MỪNG BẢN VỊ VÀNG BẢO TÍN MINH CHÂU,99.99%,gold_bar,BTMC
546,TRANG SỨC VÀNG RỒNG THĂNG LONG,99.99,jewelry,BTMC
552,"Vàng SJC 1L, 10L, 1KG",99.99,gold_bar,SJC
553,Nữ trang,75,jewelry,SJC
560,VÀNG MIẾNG VRTL BẢO TÍN MINH CHÂU,99.99%,gold_bar,BTMC
565,Vàng trang sức 98,99.99,jewelry,Phú Quý
566,Nữ trang,68,jewelry,SJC
545,"Vàng nhẫn SJC 1 chỉ, 2 chỉ, 5 chỉ",99.99,ring,SJC
557,"Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ",99.99,gold_bar,SJC
542,VÀNG MIẾNG SJC,99.99%,gold_bar,BTMC
547,Vàng trang sức 99,99.99,jewelry,Phú Quý
549,TRANG SỨC VÀNG RỒNG THĂNG LONG 99.9,99.99,jewelry,BTMC
554,Phú quý 1 lượng 99.9,99.99%,Gold bar,Phú Quý
555,Vàng phi SJC,999.0,Gold bar,Phú Quý
561,Thần tài Phú Quý,99.99,gift,Phú Quý
563,NHẪN TRÒN TRƠN BẢO TÍN MINH CHÂU,99.99%,ring,BTMC
569,Nữ trang,99,jewelry,SJC
761,"Vàng SJC 1L, 10L, 1KG",99.99,gold_bar,SJC
801,Vàng 610 (14.6K),61.0,Gold bar,
821,Vàng nữ trang 999,99.9,jewelry,
544,"Vàng nhẫn SJC 0.5 chỉ, 0.3 chỉ",99.99,ring,SJC
550,Nữ trang,61,jewelry,SJC
551,Vàng SJC 5 chỉ,99.99,gold_bar,SJC
556,Nhẫn tròn Phú Quý,99.99,ring,Phú Quý
562,Nữ trang,99.99,jewelry,SJC
564,- BÁN LẺ DOJI,99.99%,Gold bar,DOJI
567,Vàng phi SJC,99.99,Gold bar,Phú Quý
